Title,Author,Publication date,Publisher,Language,Pages,Editions,Rating,Aggregate approval,Want to read,Currently reading,Have read
The house of a thousand candles,Meredith Nicholson,-0.9153624595423568,Grosset & Dunlap,English,0.5104729344666941,1.6636283168048294,0.0,-0.22696263082477028,-0.1199767744065613,-0.06993832827610479,-0.27109471908101535
Wind in the Willows,Kenneth Grahame,0.43562552068486116,Parragon Book Service Limited,English,6.260288420793835e-17,2.2715323798158646,0.0,-0.22696263082477028,-0.10281167117712288,-0.12708801542839973,-0.27109471908101535
Crotchet castle.,Thomas Love Peacock,-1.9903421427339065,T. Hookham,English,0.05485384632884751,0.9431494273102686,0.0,-0.22696263082477028,-0.11311073311478594,-0.12708801542839973,-0.27109471908101535
The iron heel,Jack London,-0.8717822021156724,Everett & Co.,English,-0.0173784481320306,1.990095313607052,3.33,0.4432626582871133,0.26795455857874734,0.33010948178995997,0.21171412080436058
Wet Magic (Books of Wonder (Seastar Paperback)),Edith Nesbit,0.4792057781115456,Chronicle Books,English,-0.5452298307307553,0.8643470487718011,3.0,-0.18670885970693943,-0.04101729955114451,-0.12708801542839973,-0.15967729449208246
The hill of dreams,Arthur Machen,-0.8863089545912338,D. Estes,,6.260288420793835e-17,0.9881793579036787,3.67,0.2162313891825473,-0.04788334084291988,-0.12708801542839973,0.026018413156139064
Lavengro,George Henry Borrow,-1.699807093222677,J. Murray,,6.260288420793835e-17,0.7630297049366285,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
The Magic City,Edith Nesbit,0.17414397612475443,Macmillan,English,6.260288420793835e-17,2.3503347583543324,2.5,-0.1598730122950522,-0.010120113738155325,0.04436104602848513,-0.12253815296243814
Secret Garden,Francis Hodgson Burnett,0.6535268078182834,CreateSpace Independent Publishing Platform,English,-0.7341450623976672,6.943387678882156,4.0,-0.11961924117722136,-0.08221354730179675,-0.06993832827610479,-0.19681643602172674
Moran of the Lady Letty,Frank Norris,-1.0170497268712873,Doubleday & McClure Co.,,6.260288420793835e-17,1.1120116670355562,4.0,-0.11961924117722136,-0.123409795052449,-0.12708801542839973,-0.19681643602172674
The Enchanted Island of Yew (Dodo Press),L. Frank Baum,0.5663662929649145,Dodo Press,English,-0.9008349726920013,1.2245864935190813,4.0,-0.17329093600099582,-0.09594562988534751,-0.12708801542839973,-0.23395557755137106
